expr,pub_date,ref_date,value
aa,2014-11-01,2014-12-01,3.12549804567745
aa,2014-11-01,2015-03-01,2.85312476204839
aa,2014-12-01,2014-12-01,3.79079172910338
aa,2014-12-01,2015-03-01,3.39157557880357
aa,2014-12-01,2015-06-01,3.09358764924031
aa,2015-01-01,2014-12-01,3.79079172910338
aa,2015-01-01,2015-03-01,3.39157557880357
aa,2015-01-01,2015-06-01,3.09358764924031
aa,2015-02-01,2014-12-01,3.79079172910338
aa,2015-02-01,2015-03-01,3.39157557880357
aa,2015-02-01,2015-06-01,3.09358764924031
aa,2015-03-01,2015-03-01,2.74405838305399
aa,2015-03-01,2015-06-01,2.58588620873109
aa,2015-03-01,2015-09-01,2.65663325463331
aa,2015-04-01,2015-03-01,2.74405838305399
aa,2015-04-01,2015-06-01,2.58588620873109
aa,2015-04-01,2015-09-01,2.65663325463331
aa,2015-05-01,2015-03-01,2.74405838305399
aa,2015-05-01,2015-06-01,2.58588620873109
aa,2015-05-01,2015-09-01,2.65663325463331
aa,2015-06-01,2015-06-01,2.77196091069291
aa,2015-06-01,2015-09-01,2.80382600862239
aa,2015-06-01,2015-12-01,2.73659111773733
aa,2015-07-01,2015-06-01,2.77196091069291
aa,2015-07-01,2015-09-01,2.80382600862239
aa,2015-07-01,2015-12-01,2.73659111773733
aa,2015-08-01,2015-06-01,2.77196091069291
aa,2015-08-01,2015-09-01,2.80382600862239
aa,2015-08-01,2015-12-01,2.73659111773733
aa,2015-09-01,2015-09-01,2.98174493012992
aa,2015-09-01,2015-12-01,2.87654790380443
aa,2015-09-01,2016-03-01,2.79510300559045
aa,2015-10-01,2015-09-01,2.98174493012992
aa,2015-10-01,2015-12-01,2.87654790380443
aa,2015-10-01,2016-03-01,2.79510300559045
aa,2015-11-01,2015-09-01,2.98174493012992
aa,2015-11-01,2015-12-01,2.87654790380443
aa,2015-11-01,2016-03-01,2.79510300559045
aa,2015-12-01,2015-12-01,2.20873688812521
aa,2015-12-01,2016-03-01,2.27150412092213
aa,2015-12-01,2016-06-01,2.46876508371578
aa,2016-01-01,2015-12-01,2.20873688812521
aa,2016-01-01,2016-03-01,2.27150412092213
aa,2016-01-01,2016-06-01,2.46876508371578
aa,2016-02-01,2015-12-01,2.20873688812521
aa,2016-02-01,2016-03-01,2.27150412092213
aa,2016-02-01,2016-06-01,2.46876508371578
aa,2016-03-01,2016-03-01,1.65876132467256
aa,2016-03-01,2016-06-01,1.99178494538317
aa,2016-03-01,2016-09-01,2.28388410884676
aa,2016-04-01,2016-03-01,1.65876132467256
aa,2016-04-01,2016-06-01,1.99178494538317
aa,2016-04-01,2016-09-01,2.28388410884676
aa,2016-05-01,2016-03-01,1.65876132467256
aa,2016-05-01,2016-06-01,1.99178494538317
aa,2016-05-01,2016-09-01,2.28388410884676
aa,2016-06-01,2016-06-01,1.93712446467958
aa,2016-06-01,2016-09-01,2.24134865027907
aa,2016-06-01,2016-12-01,2.40575849298057
aa,2016-07-01,2016-06-01,1.93712446467958
aa,2016-07-01,2016-09-01,2.24134865027907
aa,2016-07-01,2016-12-01,2.40575849298057
aa,2016-08-01,2016-06-01,1.93712446467958
aa,2016-08-01,2016-09-01,2.24134865027907
aa,2016-08-01,2016-12-01,2.40575849298057
aa,2016-09-01,2016-09-01,2.36569213090953
aa,2016-09-01,2016-12-01,2.50228875349998
aa,2016-09-01,2017-03-01,2.55724242769564
aa,2016-10-01,2016-09-01,2.36569213090953
aa,2016-10-01,2016-12-01,2.50228875349998
aa,2016-10-01,2017-03-01,2.55724242769564
aa,2016-11-01,2016-09-01,2.36569213090953
aa,2016-11-01,2016-12-01,2.50228875349998
aa,2016-11-01,2017-03-01,2.55724242769564
aa,2016-12-01,2016-12-01,2.34371554842608
aa,2016-12-01,2017-03-01,2.43404073354575
aa,2016-12-01,2017-06-01,2.52800704234211
aa,2017-01-01,2016-12-01,2.34371554842608
aa,2017-01-01,2017-03-01,2.43404073354575
aa,2017-01-01,2017-06-01,2.52800704234211
aa,2017-02-01,2016-12-01,2.34371554842608
aa,2017-02-01,2017-03-01,2.43404073354575
aa,2017-02-01,2017-06-01,2.52800704234211
aa,2017-03-01,2017-03-01,2.24883453457268
aa,2017-03-01,2017-06-01,2.38417404851917
aa,2017-03-01,2017-09-01,2.49396950833875
aa,2017-04-01,2017-03-01,2.24883453457268
aa,2017-04-01,2017-06-01,2.38417404851917
aa,2017-04-01,2017-09-01,2.49396950833875
aa,2017-05-01,2017-03-01,2.24883453457268
aa,2017-05-01,2017-06-01,2.38417404851917
aa,2017-05-01,2017-09-01,2.49396950833875
aa,2017-06-01,2017-06-01,2.23102314266583
aa,2017-06-01,2017-09-01,2.37492325933383
aa,2017-06-01,2017-12-01,2.4851520731328
aa,2017-07-01,2017-06-01,2.23102314266583
aa,2017-07-01,2017-09-01,2.37492325933383
aa,2017-07-01,2017-12-01,2.4851520731328
aa,2017-08-01,2017-06-01,2.23102314266583
aa,2017-08-01,2017-09-01,2.37492325933383
aa,2017-08-01,2017-12-01,2.4851520731328
aa,2017-09-01,2017-09-01,2.63703430313805
aa,2017-09-01,2017-12-01,2.68854112623966
aa,2017-09-01,2018-03-01,2.6535238204243
aa,2017-10-01,2017-09-01,2.63703430313805
aa,2017-10-01,2017-12-01,2.68854112623966
